Customer_ID,Age,Annual_Income_k$,Total_Spend_k$,Purchase_Frequency_Per_Month,Transaction_Amount,Login_Attempts,Is_Fraud
1001,56,143,15,6,1149.576483993314,2,0
1002,69,87,12,2,1154.6253237017415,3,0
1003,46,60,5,8,1904.7133844044095,5,1
1004,32,120,5,11,887.9287592901102,3,0
1005,60,46,18,3,1383.1612104906064,2,0
1006,25,20,12,10,1152.06640165646,3,0
1007,38,88,3,14,357.6366570565933,5,0
1008,56,128,7,6,1186.1682939710588,4,0
1009,36,41,17,6,1082.532835178826,1,0
1010,40,68,19,4,990.3424578491642,4,0
1011,28,99,18,5,1029.2787526287073,2,0
1012,28,141,1,2,332.15600405794663,4,0
1013,41,125,24,10,929.6380738051823,3,0
1014,53,29,5,10,1213.2782772840856,5,1
1015,57,146,2,8,981.4511513776511,4,0
1016,41,107,1,10,979.9289592766638,4,0
1017,20,137,7,7,159.64783103700663,5,1
1018,39,87,11,10,385.5944332733557,3,0
1019,19,106,11,6,645.3405220871239,1,0
1020,41,31,18,7,841.5972528821836,4,0
1021,61,57,17,12,1189.9052004979155,2,0
1022,47,135,2,1,1727.3734835235061,3,0
1023,55,55,7,14,322.53365248686464,3,0
1024,19,53,7,14,35.10062027033639,4,0
1025,38,127,10,5,901.228075897952,5,0
1026,50,125,22,7,867.0452803361981,4,0
1027,29,61,21,1,1106.042930897869,4,0
1028,39,77,3,2,1667.2774338861436,5,1
1029,61,124,12,9,1605.7092992100436,2,0
1030,42,83,3,12,204.58635243787236,5,0
1031,66,57,11,3,1868.320756519964,4,1
1032,44,48,12,6,225.27671737551717,1,0
1033,59,54,4,7,1270.968164525801,5,1
1034,45,75,16,9,1346.4505557231735,2,0
1035,33,76,20,5,1361.3555870100608,5,1
1036,32,72,18,4,534.3755874924049,5,0
1037,64,89,4,11,664.038458071159,3,0
1038,68,30,22,12,1099.6103659230469,3,0
1039,61,96,6,2,403.17705412119625,4,0
1040,69,108,21,3,45.519383327535685,4,0
1041,20,62,15,5,1126.4781867446084,5,0
1042,54,96,1,11,933.2307511639546,1,0
1043,68,52,3,13,1315.1787564158067,4,1
1044,24,141,5,2,297.66764878815155,5,0
1045,38,33,22,13,1682.6451647067536,5,1
1046,26,77,17,4,296.71186947875196,5,0
1047,56,91,14,1,1783.2304917356469,5,1
1048,35,145,9,4,901.7947393284275,5,0
1049,21,116,3,7,1101.861492448526,3,0
1050,42,79,13,14,1793.6797652481575,2,0
1051,31,134,3,12,603.3265317117487,2,0
1052,67,105,11,3,367.7448575010973,5,0
1053,26,22,2,10,894.27448353481,4,0
1054,43,87,24,8,492.512620912775,1,0
1055,19,148,15,6,1058.0486035229326,5,0
1056,37,121,13,6,554.1394395664113,1,0
1057,45,103,19,14,1729.6566235129367,3,1
1058,64,53,22,1,1216.6125615541632,2,0
1059,24,127,16,5,5.480136137090021,3,0
1060,61,42,18,3,1611.9201006862504,4,1
1061,25,111,7,10,663.7736117686611,4,0
1062,64,51,13,1,643.8149283891394,5,0
1063,52,96,4,8,769.2103102082624,4,0
1064,31,70,9,7,1262.373743527741,4,1
1065,34,99,10,7,886.9111172364749,3,0
1066,53,16,9,12,1259.1279154065564,1,0
1067,67,72,7,10,297.8275396634058,2,0
1068,57,121,15,14,1940.4781067255512,4,1
1069,21,137,8,10,1460.5645427323084,4,1
1070,19,128,19,10,504.1631788208741,3,0
1071,23,121,11,4,1449.7189666091779,2,0
1072,59,51,5,13,1152.1757852419705,3,0
1073,21,93,2,11,222.83204782501173,1,0
1074,46,106,10,6,360.50187144231154,3,0
1075,35,32,16,13,87.40974313332231,2,0
1076,43,112,23,9,1619.4299529909888,2,0
1077,61,77,13,14,1105.650981427494,4,0
1078,51,18,8,3,636.9135540571727,1,0
1079,27,149,9,9,257.0580795462591,5,0
1080,53,75,11,4,970.6715225409565,4,0
1081,31,121,11,5,1052.8963867022878,3,0
1082,48,68,23,7,1405.387259456108,3,0
1083,65,102,16,6,1940.0247348419475,2,0
1084,32,82,10,10,872.7163331627125,2,0
1085,25,143,24,8,815.0382421557667,2,0
1086,31,69,12,8,743.0103591572944,5,0
1087,40,17,6,8,1654.7131983888878,5,1
1088,57,135,12,3,316.85285669147953,4,0
1089,38,143,10,14,690.9067427520034,5,0
1090,33,116,18,10,1451.3167557264048,2,0
1091,62,52,18,6,36.31139600818073,4,0
1092,35,99,4,7,582.3145435933609,4,0
1093,64,147,9,9,1284.6870896956461,1,0
1094,41,106,7,10,375.97443551160535,5,0
1095,43,35,18,10,608.907585402921,3,0
1096,42,123,8,14,974.6599235940423,3,0
1097,62,61,11,12,846.9370141095259,1,0
1098,58,98,7,4,216.5242439609808,2,0
1099,46,97,9,5,1876.779467899987,1,0
1100,32,49,8,8,93.36397756127508,2,0
1101,62,83,3,1,1500.7367990635219,5,1
1102,18,143,17,12,147.48842832685915,5,0
1103,42,41,2,6,937.2551270350333,4,0
1104,24,70,15,4,354.945526852545,4,0
1105,26,37,14,5,286.4901038757059,4,0
1106,41,35,18,11,256.16646320074153,4,0
1107,18,75,16,5,908.309340207208,3,0
1108,61,77,20,2,1033.392394227648,4,0
1109,25,136,22,8,271.10206461796554,4,0
